frage_id	antwort_id	antwort	punkte	growth	innovation	community	impact	geld	ergebnis
p1-cofounder	a	KI-Entwicklerin an Bord holen (40 % Anteile)	20	5	14	8			Ein:e starke:r Mitgründer:in ist mehr wert als Anteile. Technik-Power von Tag 1 — dafür wird dein Anteil an der Firma kleiner.
p1-cofounder	b	Allein starten, Technik später dazukaufen	5	8	-6			-8000	Du behältst die Kontrolle, zahlst aber Freelancer teuer — und ohne feste Technik-Person fehlt langfristig die Substanz.
p1-cofounder	c	Komplett allein machen, niemanden reinholen	-8	4	-10	-6			Schnell gestartet, aber allein gründen ist riskant: alles auf einer Schulter und niemand, mit dem du Ideen prüfst.
p1-target	a	KMU im Mittelstand — kleine und mittlere Unternehmen mit zahlbaren Problemen	18	12		-4		6000	KMU sind kleine und mittlere Unternehmen: groß genug für echte Budgets, klein genug für schnelle Entscheidungen. Das bringt früh Umsatz und Stabilität.
p1-target	b	Einzelne Freelancer & Kleinstbüros — riesige Gruppe, kleines Budget	12	8		12		-6000	Eine begeisterte Nutzergruppe ist viel wert — aber wenn kaum jemand zahlt, verbrennst du schnell Geld. Viele Nutzer heißt nicht viel Umsatz.
p1-target	c	Ein Konzern als einzigen Enterprise-Kunden gewinnen	10	16	-4		6	-4000	Ein riesiger Kunde sieht super aus, macht dich aber abhängig: Springt er ab, wackelt sofort alles (Klumpenrisiko — zu viel hängt an einem Kunden).
p1-brand	a	Profi-Agentur fürs Branding bezahlen	6	6	4			-9000	Sieht top aus — aber so viel Geld für die Optik auszugeben, bevor das Produkt überzeugt, ist verfrüht. Erst beweisen, dann hübsch machen.
p1-brand	b	Selbst gestalten, Geld fürs Produkt sparen	12		6	-2		2000	Sparsam gestartet: Am Anfang schlägt ein funktionierendes Produkt jedes schicke Logo.
p1-brand	c	Namens-Wettbewerb in der Studi-Community	16	4		14		-1000	Clever: Die Community denkt mit, fühlt sich verbunden und erzählt weiter — Werbung und Bindung in einem.
p1-problem	a	Angebote und Follow-ups für B2B-Vertriebsteams automatisieren	18	12	6		-2	2000	Starker Fokus: Vertriebsteams spüren sofort, ob mehr Angebote schneller rausgehen. Ein klar messbarer Nutzen verkauft sich besser als ein diffuses Alles-können-Tool.
p1-problem	b	Eine KI für jede Abteilung bauen	2	-8	10			-6000	Ambitioniert, aber zu breit. Wenn du zu viele Probleme gleichzeitig löst, wird das Produkt teuer und die Botschaft unscharf.
p1-problem	c	Nur interne Uni-Teams als Testkunden nehmen	6	-6		12	4	-3000	Guter Lernraum, aber zu weit weg vom zahlenden Markt. Für ein skalierbares B2B-Startup brauchst du schnell echte Unternehmensprobleme.
p2-mvp	a	MVP bauen: Minimalversion, die nur das Wichtigste kann	20	12	4	4			Ein MVP ist ein Minimum Viable Product: eine einfache Version, mit der du lernst, ob der Kernnutzen stimmt. Frühes Feedback schlägt monatelanges Bauen im Stillen.
p2-mvp	b	Erst das komplette, perfekte Produkt fertig bauen	-4	-6	12			-12000	Monatelang ohne Nutzer zu bauen ist teuer und riskant — viele entwickeln am Bedarf vorbei, weil sie zu spät starten.
p2-mvp	c	Erst ein Test-Modell aus fertigen Bausteinen (ohne Programmieren)	14	4	8			4000	Schlau & günstig getestet: Mit fertigen Baukasten-Tools prüfst du die Idee, ohne teuer zu entwickeln — ideal vor dem echten Bau.
p2-feedback	a	30 Nutzer:innen persönlich befragen	18	-4	12	10			Raus zu den Leuten: Echte Gespräche zeigen, was Menschen wirklich brauchen — der wertvollste Input überhaupt.
p2-feedback	b	Einfach starten und die Nutzungs-Zahlen beobachten	8	10	-4				Zahlen lügen nicht — verraten aber nicht das Warum. Ohne echte Rückmeldungen tappst du beim Verbessern oft im Dunkeln.
p2-feedback	c	Große Online-Umfrage verschicken	2		-2	4			Was Leute in Umfragen ankreuzen und was sie wirklich tun, ist oft zweierlei. Bequem, aber selten ehrlich.
p2-tech	a	Große KI per API anbinden	12	10	2			-6000	Eine API ist eine Schnittstelle zu einem fremden Dienst. Du bist schnell startklar, zahlst aber pro Nutzung und bleibst abhängig vom Anbieter.
p2-tech	b	Ein eigenes KI-Modell trainieren	10	-4	16			-12000	Unabhängig und einzigartig — aber teuer und langsam. Lohnt sich nur, wenn die eigene KI wirklich besser ist.
p2-tech	c	Ein frei verfügbares Modell selbst betreiben (Mittelweg)	16	4	10			-4000	Pragmatischer Mittelweg: ein offenes, kostenloses Modell nehmen und anpassen — günstiger als selbst bauen, freier als mieten.
p2-api-integration	a	Erst zwei Kern-APIs sauber anbinden	18	8	10		3	-5000	APIs sind Schnittstellen zwischen Software-Systemen. Zwei verlässliche Integrationen sind besser als zehn wackelige, weil echte Teams damit sofort arbeiten können.
p2-api-integration	b	Alles manuell importieren lassen und schneller verkaufen	6	10	-6		-4	1000	Schnell im Vertrieb, schwach im Produkt: Manuelle Datenimporte brechen im Alltag leicht und erzeugen Datenschutzrisiken.
p2-api-integration	c	Erst eine offene Plattform für alle Integrationen bauen	4	-8	14			-10000	Technisch stark, aber zu früh. Eine Plattform lohnt sich erst, wenn du genau weißt, welche Integrationen Kunden wirklich täglich brauchen.
p3-source	a	Bootstrappen — aus dem eigenen Umsatz wachsen	12	-4		6	4	-3000	«Bootstrappen» heißt: ohne fremdes Geld wachsen, nur aus eigenem Umsatz. Volle Kontrolle, keine Anteile abgeben — aber langsam.
p3-source	b	Einen Business Angel holen (Geld gegen Anteile)	16	12		-4		40000	Ein «Business Angel» ist ein erfahrener Privat-Investor: Er gibt Geld und Kontakte und bekommt dafür Firmenanteile. Tempo und Erfahrung — aber du teilst deine Firma.
p3-source	c	Eine staatliche Förderung beantragen	14	-6	4		6	30000	Geld vom Staat, ohne Anteile abzugeben — dafür viel Papierkram und Wartezeit. Kostet Tempo, aber du bleibst Herr im eigenen Haus.
p3-pricing	a	Günstiger Einstiegspreis — schnell viele Seats verkaufen	6	14			2	-10000	Wächst schnell, aber die Gewinnspanne ist winzig. Zu billig zu starten macht es später schwer, die Preise wieder anzuheben.
p3-pricing	b	Höherer Tier-Preis — über Qualität statt Masse verkaufen	12	-6	4			12000	Eine gesunde Gewinnspanne finanziert dein Wachstum selbst. Weniger, aber wertvollere Kunden — dafür musst du klar zeigen, was Mira wert ist.
p3-pricing	c	Basis-Tier kostenlos, Pro-Seats kosten Geld (Freemium)	14	10		8		-6000	Freemium heißt: eine kostenlose Basisversion lockt Nutzer an, bezahlt wird später für Pro-Funktionen. Das kann wachsen, kostet aber viel, wenn zu wenige wechseln.
p3-investor	a	Annehmen — so viel Geld bekommst du nie wieder	-6	16		-12	-20	50000	Viel Geld, aber du verlierst die Kontrolle UND das Vertrauen deiner Nutzer. Das falsche Geld kann ein Startup seine Seele kosten.
p3-investor	b	Hart verhandeln: Geld ja, Datenverkauf nein	18	8			4	24000	Stark: Du nimmst Kapital, schützt aber deine Werte und die Mehrheit. Gute Bedingungen sind wichtiger als die größte Summe.
p3-investor	c	Ablehnen — Vertrauen ist wichtiger als Geld	8	-8		8	10	-3000	Treu zu deinen Werten, aber langsamer. Manchmal genau richtig — manchmal verpasst man so den entscheidenden Moment.
p3-termsheet	a	Annehmen — Tempo ist wichtiger als Kontrolle	-4	18		-16	-10	60000	Eine Liquidation Preference regelt, wer bei einem Verkauf zuerst Geld bekommt; zweifach ist hart. Viel Kapital hilft wenig, wenn du Kontrolle und Teamvertrauen verlierst.
p3-termsheet	b	Verhandeln: einfache Preference, kein Board-Mehrheitsrecht	20	10		4	2	36000	Gute Finanzierung ist nicht nur Betrag, sondern Bedingungen. Du nimmst Kapital, schützt aber Entscheidungsfreiheit und vermeidest toxische Kontrollrechte.
p3-termsheet	c	Brückendarlehen nehmen und später verhandeln	10	4	-2	2		18000	Ein Brückendarlehen ist ein kurzfristiger Kredit bis zur nächsten Finanzierung. Es kauft Zeit, löst aber die Frage nach starken Investoren noch nicht.
p4-hire	a	Sales-Manager:in — mehr Unternehmenskunden gewinnen	14	14	-2			-12000	Vertrieb bringt Umsatz, der alles andere finanziert. Selling wird in der Frühphase oft unterschätzt.
p4-hire	b	KI-Entwickler:in — Produkt schneller verbessern	12	2	14			-12000	Mehr Tempo am Produkt — aber ohne Vertrieb bleiben die besten Features ungenutzt. Balance ist alles.
p4-hire	c	Customer-Success-Manager:in — Bindung & Weiterempfehlungen	12	4		16		-10000	Im B2B-SaaS, also Software für Unternehmen, zählt Bindung: Zufriedene Kunden kündigen seltener und kaufen leichter zusätzliche Plätze.
p4-expand	a	Sofort in die zweite Stadt expandieren	6	16		-6	2	-20000	Zu früh skaliert heißt: Du gibst Geld aus, bevor Vertrieb und Produkt wirklich sitzen. Das sieht nach Wachstum aus, kann aber die Kasse leeren.
p4-expand	b	Münster erst zur klaren Nummer 1 machen	18	8		10	6	-4000	Erst einen Markt dominieren, dann kopieren: ein bewiesenes, profitables Modell skaliert viel sicherer.
p4-expand	c	Partner-Netzwerk für andere Regionen aufbauen	10	12	-4		-4	10000	Schnell und kapitalschonend — aber du gibst Qualitätskontrolle ab. Die Marke ist nur so gut wie der schwächste Partner.
p4-marketing	a	Bezahlte LinkedIn- und Google-Ads schalten	6	12				-16000	Ads wirken sofort — aber sobald du zahlst, hört es auf zu wachsen. Gemietete Reichweite gehört dir nie.
p4-marketing	b	Expert:innen-Content und Community-Events	18	8		16		-4000	Vertrauen durch Expertise: Wenn Mira sichtbar erklärt, wie gute KI-Prozesse funktionieren, wirkt das bei B2B-Kunden glaubwürdiger als reine Werbung.
p4-marketing	c	Eine aufsehenerregende Aktion in der Stadt	8	10		4	-2	-6000	Kann durch die Decke gehen — oder verpuffen. PR-Stunts sind ein Glücksspiel: hohe Varianz, schwer wiederholbar.
p4-partner-marketplace	a	Marketplace-Deal annehmen und Reichweite kaufen	12	16	-6	-4		6000	Reichweite über Partner kann Sales beschleunigen. Der Preis ist Abhängigkeit: Wenn der Marktplatz Regeln ändert, hängt dein Wachstum an fremder Infrastruktur.
p4-partner-marketplace	b	Eigene Direktvertriebsmaschine bauen	14	8	2	6		-14000	Langsamer und teurer, aber kontrollierter. Ein eigener Vertrieb lernt direkt vom Kunden und macht dich unabhängiger von Plattformen.
p4-partner-marketplace	c	Exklusive Agenturpartner zertifizieren	10	10		12	-3	-6000	Partner bringen Nähe zum Kunden, aber Qualität wird schwerer zu steuern. Schlechte Implementierungen fallen am Ende auf Mira zurück.
p5-keycustomer	a	Zustimmen — der Umsatz ist zu wichtig	-4	-10		-8	-4	18000	Kurzfristig sicher, langfristig gefährlich: Ein Kunde mit so viel Macht kann dich jederzeit unter Druck setzen.
p5-keycustomer	b	Kompromiss: Exklusivität nur befristet und gegen Aufpreis	18	4		2		12000	Verhandelt statt verschenkt: Du sicherst Umsatz, behältst aber deine Freiheit und machst dich weniger abhängig.
p5-keycustomer	c	Ablehnen — Unabhängigkeit zählt mehr	12	8		8	4	-12000	Mutig: Du schützt dein Geschäft vor zu großer Abhängigkeit — musst die Lücke aber erstmal selbst stopfen.
p5-crisis	a	Sofort öffentlich entschuldigen und sichtbar nachbessern	20		6	14	4	-9000	Vorbildlich: Ehrlich und schnell zu reagieren schafft in einer Krise oft mehr Vertrauen, als hätte es den Fehler nie gegeben.
p5-crisis	b	Kleinreden und auf «Einzelfall» schieben	-10	-8		-14	-4		Macht alles schlimmer. Ausreden in der Krise zerstören Vertrauen schneller als der Fehler selbst.
p5-crisis	c	Bekannte Leute dafür bezahlen, das Thema zu überdecken	-2	4		-6		-9000	Ablenken statt lösen. Wer das eigentliche Problem zudeckt, riskiert beim nächsten Mal den doppelten Knall.
p5-burnout	a	Bewusst das Tempo rausnehmen + gemeinsames Team-Wochenende	18	-4		14	4	-6000	Klug: Gründen ist ein Marathon, kein Sprint. Ein gesundes Team ist dein wertvollstes und knappstes Gut.
p5-burnout	b	Weiter pushen — jetzt bloß nicht bremsen	-8	8	-4	-16			Kurzfristig mehr Leistung, dann Kündigungen. Ausgebrannte Teams kosten am Ende mehr als jede verpasste Frist.
p5-burnout	c	Hilfe und bessere Abläufe von außen einkaufen	8		2	6		-9000	Entlastet — kostet aber Geld und löst das eigentliche Problem nicht. Werkzeuge helfen, ersetzen aber keine echte Erholung.
p5-incumbent-copy	a	Direkt gegen den Konzern positionieren	4	-6	4	4		-12000	Mutig, aber teuer: Ein Marketingkampf gegen Konzerne verbrennt schnell Geld. Kleine Startups gewinnen selten über Lautstärke.
p5-incumbent-copy	b	Tiefer in eine Branche gehen und Spezialfeatures bauen	20	8	12		4	-7000	Guter Gegenangriff: Konzerne bauen breite Standardfunktionen, Startups können tiefer in die Arbeitsabläufe einer Branche gehen.
p5-incumbent-copy	c	Partner im Konzern-Ökosystem werden	12	10	-4	4		3000	Pragmatisch: Du nutzt die Reichweite des großen Anbieters, gibst aber ein Stück Differenzierung auf und wirst vergleichbarer.
